kind,name,url,local_path,version_or_commit,scope
paper,A Dynamic LLM-Powered Agent Network for Task-Oriented Agent Collaboration,https://arxiv.org/abs/2310.02170v2,sources/papers/2310.02170,2310.02170v2,report source
paper,Language Agents as Optimizable Graphs,https://arxiv.org/abs/2402.16823v3,sources/papers/2402.16823,2402.16823v3,report source
paper,Artificial Generational Intelligence: Cultural Accumulation in Reinforcement Learning,https://arxiv.org/abs/2406.00392v2,sources/papers/2406.00392,2406.00392v2,report source
paper,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,https://arxiv.org/abs/2410.02506v1,sources/papers/2410.02506,2410.02506v1,report source
paper,Emergent social conventions and collective bias in LLM populations,https://arxiv.org/abs/2410.08948v2,sources/papers/2410.08948,2410.08948v2,report source
paper,"LLM2Swarm: Robot Swarms that Responsively Reason, Plan, and Collaborate through LLMs",https://arxiv.org/abs/2410.11387v3,sources/papers/2410.11387,2410.11387v3,report source
paper,OASIS: Open Agent Social Interaction Simulations with One Million Agents,https://arxiv.org/abs/2411.11581v5,sources/papers/2411.11581,2411.11581v5,report source
paper,MAPoRL: Multi-Agent Post-Co-Training for Collaborative Large Language Models with Reinforcement Learning,https://arxiv.org/abs/2502.18439v2,sources/papers/2502.18439,2502.18439v2,report source
paper,AgentDropout: Dynamic Agent Elimination for Token-Efficient and High-Performance LLM-Based Multi-Agent Collaboration,https://arxiv.org/abs/2503.18891v1,sources/papers/2503.18891,2503.18891v1,report source
paper,AgentNet: Decentralized Evolutionary Coordination for LLM-based Multi-Agent Systems,https://arxiv.org/abs/2504.00587v2,sources/papers/2504.00587,2504.00587v2,report source
paper,Benchmarking LLMs' Swarm intelligence,https://arxiv.org/abs/2505.04364v4,sources/papers/2505.04364,2505.04364v4,report source
paper,Systematic Failures in Collective Reasoning under Distributed Information in Multi-Agent LLMs,https://arxiv.org/abs/2505.11556v4,sources/papers/2505.11556,2505.11556v4,report source
paper,SwarmAgentic: Towards Fully Automated Agentic System Generation via Swarm Intelligence,https://arxiv.org/abs/2506.15672v1,sources/papers/2506.15672,2506.15672v1,report source
paper,Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,https://arxiv.org/abs/2508.17536v2,sources/papers/2508.17536,2508.17536v2,report source
paper,SwarmSys: Decentralized Swarm-Inspired Agents for Scalable and Adaptive Reasoning,https://arxiv.org/abs/2510.10047v1,sources/papers/2510.10047,2510.10047v1,report source
paper,The Role of Social Learning and Collective Norm Formation in Fostering Cooperation in LLM Multi-Agent Systems,https://arxiv.org/abs/2510.14401v2,sources/papers/2510.14401,2510.14401v2,report source
paper,Enabling Agents to Communicate Entirely in Latent Space,https://arxiv.org/abs/2511.09149v5,sources/papers/2511.09149,2511.09149v5,report source
paper,Latent Collaboration in Multi-Agent Systems,https://arxiv.org/abs/2511.20639v4,sources/papers/2511.20639,2511.20639v4,report source
paper,Towards a Science of Scaling Agent Systems,https://arxiv.org/abs/2512.08296v3,sources/papers/2512.08296,2512.08296v3,report source
paper,Kimi K2.5: Visual Agentic Intelligence,https://arxiv.org/abs/2602.02276v2,sources/papers/2602.02276,2602.02276v2,report source
paper,The Moltbook Illusion: Separating Human Influence from Emergent Behavior in AI Agent Societies,https://arxiv.org/abs/2602.07432v2,sources/papers/2602.07432,2602.07432v2,report source
paper,Collective Behavior of AI Agents: the Case of Moltbook,https://arxiv.org/abs/2602.09270v1,sources/papers/2602.09270,2602.09270v1,report source
paper,Does Socialization Emerge in AI Agent Society? A Case Study of Moltbook,https://arxiv.org/abs/2602.14299v2,sources/papers/2602.14299,2602.14299v2,report source
paper,When AI Agents Teach Each Other: Discourse Patterns Resembling Peer Learning in the Moltbook Community,https://arxiv.org/abs/2602.14477v2,sources/papers/2602.14477,2602.14477v2,report source
paper,OpenClaw AI Agents as Informal Learners at Moltbook: Characterizing an Emergent Learning Community at Scale,https://arxiv.org/abs/2602.18832v1,sources/papers/2602.18832,2602.18832v1,report source
paper,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,https://arxiv.org/abs/2603.16910v1,sources/papers/2603.16910,2603.16910v1,report source
paper,The AI Scientific Community: Agentic Virtual Lab Swarms,https://arxiv.org/abs/2603.21344v1,sources/papers/2603.21344,2603.21344v1,report source
paper,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets,https://arxiv.org/abs/2604.02460v2,sources/papers/2604.02460,2604.02460v2,report source
paper,Form Without Function: Agent Social Behavior in the Moltbook Network,https://arxiv.org/abs/2604.13052v1,sources/papers/2604.13052,2604.13052v1,report source
paper,Agentic Microphysics: A Manifesto for Generative AI Safety,https://arxiv.org/abs/2604.15236v1,sources/papers/2604.15236,2604.15236v1,report source
paper,The Cost of Consensus: Malignant Epistemic Herding and Adaptive Gating in Distributed Multi-Agent Search,https://arxiv.org/abs/2605.06988v1,sources/papers/2605.06988,2605.06988v1,report source
paper,"Behavioral Determinants of Deployed AI Agents in Social Networks: A Multi-Factor Study of Personality, Model, and Guardrail Specification",https://arxiv.org/abs/2605.08463v2,sources/papers/2605.08463,2605.08463v2,report source
paper,SearchSwarm: Towards Delegation Intelligence in Agentic LLMs for Long-Horizon Deep Research,https://arxiv.org/abs/2606.09730v2,sources/papers/2606.09730,2606.09730v2,report source
paper,"See What I See, Know What I Think: Dense Latent Communication Across Heterogeneous Agents",https://arxiv.org/abs/2606.13594v1,sources/papers/2606.13594,2606.13594v1,report source
paper,Emergent Culture in Minimal LLM Systems,https://arxiv.org/abs/2606.30668v1,sources/papers/2606.30668,2606.30668v1,report source
paper,StateBridge: Training-free Hidden-state Alignment for Latent Communication in LLM Multi-Agent Systems,https://arxiv.org/abs/2608.13317v1,sources/papers/2608.13317,2608.13317v1,report source
paper,Topological collapse of higher-order interactions bottlenecks collective intelligence in AI agent societies,https://arxiv.org/abs/2608.15519v1,sources/papers/2608.15519,2608.15519v1,report source
paper,Predicting the scale limits of social mechanisms in agent societies,https://arxiv.org/abs/2608.22884v1,sources/papers/2608.22884,2608.22884v1,report source
paper,SwarmWorld: Stigmergic technological evolution in societies of language-model agents,https://arxiv.org/abs/2608.26081v1,sources/papers/2608.26081,2608.26081v1,report source
paper,A Case Study on Emergent Cheating and Whistleblowing in Autonomous Research Swarms,https://arxiv.org/abs/2609.04170v1,sources/papers/2609.04170,2609.04170v1,report source
paper,Copying explains the collective behavior of AI agents in the wild,https://arxiv.org/abs/2609.09150v1,sources/papers/2609.09150,2609.09150v1,report source
post,Patterns and problems in multiagent systems,https://www.anthropic.com/research/multiagent-systems,sources/posts/anthropic-multiagent-patterns,2026-09-09 snapshot,primary blog/platform
post,How we built our multi-agent research system,https://www.anthropic.com/engineering/multi-agent-research-system,sources/posts/anthropic-research,2026-09-09 snapshot,primary blog/platform
post,anthropic-w2s,https://alignment.anthropic.com/2026/automated-w2s-researcher/,sources/posts/anthropic-w2s,2026-09-09 snapshot,primary blog/platform
post,behavioral-determinants,https://sarah-wilsxn.github.io/research/moltbook.html,sources/posts/behavioral-determinants,2026-09-09 snapshot,primary blog/platform
post,Multi-Agent Systems Reproduce Every Organizational Anti-Pattern You Already Hate,https://www.agent-swarm.dev/blog/deep-dive-agent-coordination-anti-patterns,sources/posts/coordination-antipatterns,2026-09-09 snapshot,primary blog/platform
post,EinsteinArena: Harnessing the collective intelligence of agents in the wild to advance science,https://www.together.ai/blog/einsteinarena,sources/posts/einsteinarena,2026-09-09 snapshot,primary blog/platform
post,Towards a science of scaling agent systems: When and why agent systems work,https://research.google/blog/towards-a-science-of-scaling-agent-systems-when-and-why-agent-systems-work/,sources/posts/google-scaling,2026-09-09 snapshot,primary blog/platform
post,Kimi K2.5 Tech Blog: Visual Agentic Intelligence,https://www.kimi.com/blog/kimi-k2-5.html,sources/posts/kimi-k25,2026-09-09 snapshot,primary blog/platform
post,moltbook-protocol,https://www.moltbook.com/skill.md,sources/posts/moltbook-protocol,2026-09-09 snapshot,primary blog/platform
post,"What Is an Agentic Swarm? Architecture, Patterns, and Tools",https://hub.openhands.dev/blog/agentic-swarm,sources/posts/openhands-swarms,2026-09-09 snapshot,primary blog/platform
post,We Ran a Social Experiment on an AI Agent Network. Nobody Noticed. | Blog | Failure-First,https://failurefirst.ai/blog/moltbook-social-experiment/,sources/posts/social-experiment,2026-09-09 snapshot,primary blog/platform
